num_samples,mb_lb,mb_sampling,mb_lb_sampling
250,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000002467744279715814232989040421,0.00000000000000000000002362644345481740733992707979
500,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000001653707033843378428941875405,0.00000000000000000000001839793187272480023319508832
750,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000001458569882071395947538501344,0.00000000000000000000001638982726687510060516601751
1000,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000001305116968231295255062065298,0.00000000000000000000001471656154813900471231789766
1250,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000001201109913864825077285085554,0.00000000000000000000001367457991775762303837153622
1500,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000001117418939165698992230079608,0.00000000000000000000001255816017178283569202456641
1750,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000001045662102454009033380598765,0.00000000000000000000001172404612812989837147871793
2000,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000001009847743035755844006016631,0.00000000000000000000001133552470985943418281903396
2250,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000983511819284208768991375277,0.00000000000000000000001057932500529356459554324125
2500,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000933543934463542796160032617,0.00000000000000000000001019617769300478027769632342
2750,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000919689799897610588552672892,0.00000000000000000000001015136073667782403129727332
3000,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000913789714058728817014625558,0.00000000000000000000000989484952004809731105959092
3250,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000897361193289849499518249199,0.00000000000000000000000983331947103506937412231241
3500,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000899667650844552303375938691,0.00000000000000000000000971538557494285271502401312
3750,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000880816638174988558314393665,0.00000000000000000000000961465548828745344942985058
4000,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000857420794867446380201872164,0.00000000000000000000000938466979871217633258983295
4250,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000846626986624689931217978687,0.00000000000000000000000922999701505008999258056179
4500,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000842878555265980542838704733,0.00000000000000000000000910054081694631782169909499
4750,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000836794190623599619182217558,0.00000000000000000000000908381900524499463169441651
5000,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000829521697612653875784654910,0.00000000000000000000000915124390859607310958618963
5250,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000832165653377494418360589096,0.00000000000000000000000918977955034084705212716988
5500,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000831255459937137835640744112,0.00000000000000000000000899754804813773372438038766
5750,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000831174300499623794280398490,0.00000000000000000000000900397942102836156647122699
6000,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000830728166282262857512475630,0.00000000000000000000000899257405844325228430047002
6250,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000825630513924647664868295486,0.00000000000000000000000889775035090997181896950936
6500,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000823858280488867504391939207,0.00000000000000000000000896007939755370322982605956
6750,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000820445610627530666674075552,0.00000000000000000000000893348557005075169174423671
7000,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000817741287266422278826811281,0.00000000000000000000000890947165850376113979136493
7250,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000814358957889577982461592108,0.00000000000000000000000887825085051925171896918563
7500,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000809034768626023404613047788,0.00000000000000000000000875687803903785656054921005
7750,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000805033257343067430492592870,0.00000000000000000000000873047223912110335683443396
8000,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000804013905425800904810847373,0.00000000000000000000000871101595554298529444603425
8250,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000802352728687075018419494720,0.00000000000000000000000868132801076604163773672363
8500,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000794081324184316284672635403,0.00000000000000000000000864571069049075696491004993
8750,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000792692565920549865761451241,0.00000000000000000000000863007131542049370609262315
9000,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000790353879196821391855967389,0.00000000000000000000000857691181565088215953457340
9250,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000791045519301559414115613128,0.00000000000000000000000849484926773413397513509037
9500,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000788978280965394939747640425,0.00000000000000000000000848848159885027747578814021
9750,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000784882583572855754403830947,0.00000000000000000000000846425923268042519693661425
10000,0.00000000000000000000002594181054984479522740820814,0.00000000000000000000000786935148787178420026072777,0.00000000000000000000000850231390261044146685712177
